'a'cheng 阿城
'a'er'shan 阿尔山
'a'jin 阿金
'a'ke'su 阿克苏
'a'ke'tao 阿克陶
'a'la'shan'kou 阿拉山口
'a'li'he 阿里河
'a'long'shan 阿龙山
'a'mu'er 阿木尔
'a'tu'shi 阿图什
'an'da 安达
'an'guang 安广
'an'hua 安化
'an'jia 安家
'an'kang 安康
'an'kou'yao 安口窑
'an'long 安龙
'an'lu 安陆
'an'ping 安平
'an'qing 安庆
'an'qing'xi 安庆西
'an'shan 鞍山
'an'shun 安顺
'an'tang 安塘
'an'ting'bei 安亭北
'an'tu 安图
'an'xi 安溪
'an'yang 安阳
'ang'ang'xi 昂昂溪
'ao'jiang 鳌江
'ao'li'bu'gao 敖力布告
'ba'chu 巴楚
'ba'da'ling 八达岭
'ba'dong 巴东
'ba'jiao'tai 八角台
'ba'lin 巴林
'ba'mian'cheng 八面城
'ba'mian'tong 八面通
'ba'shan 巴山
'ba'xian'tong 八仙筒
'ba'yan'gao'le 巴彦高勒
'ba'zhong 巴中
'ba'zhou 霸州
'bai'bi'guan 白壁关
'bai'cheng 白城
'bai'guo 柏果
'bai'he 白河
'bai'he'dong 白河东
'bai'he'xian 白河县
'bai'jian 白涧
'bai'kui'bao 白奎堡
'bai'lang 白狼
'bai'li'xia 百里峡
'bai'quan 白泉
'bai'se 百色
'bai'sha 白沙
'bai'shan'shi 白山市
'bai'shi'shan 白石山
'bai'shui'jiang 白水江
'bai'yin'cha'gan 白音察干
'bai'yin'hu'shuo 白音胡硕
'bai'yin'shi 白银市
'bai'yin'ta'la 白音他拉
'bai'yin'xi 白银西
'bai'yun'e'bo 白云鄂博
'ban'tian 坂田
'bao'di 宝坻
'bao'ding 保定
'bao'hua'shan 宝华山
'bao'ji 宝鸡
'bao'kang 保康
'bao'la'ge 宝拉格
'bao'lin 宝林
'bao'long'shan 宝龙山
'bao'quan'ling 宝泉岭
'bao'tou 包头
'bao'tou'dong 包头东
'bei'an 北安
'bei'bei 北碚
'bei'dai'he 北戴河
'bei'hai 北海
'bei'jiao 北滘
'bei'jing 北京
'bei'jing'bei 北京北
'bei'jing'dong 北京东
'bei'jing'nan 北京南
'bei'jing'xi 北京西
'bei'liu 北流
'bei'ma'quan'zi 北马圈子
'bei'piao'nan 北票南
'bei'tai 北台
'bei'yin'he 背荫河
'bei'ying 北营
'ben'hong 贲红
'ben'xi 本溪
'beng'bu 蚌埠
'beng'bu'nan 蚌埠南
'bi'jia'shan 笔架山
'bin'jiang 滨江
'bo'ao 博鳌
'bo'ke'tu 博克图
'bo'le 博乐
'bo'li 勃利
'bo'shan 博山
'bo'tou 泊头
'bo'xing 博兴
'bo'zhou 亳州
'bu'hai 布海
'bu'lie'kai 布列开
'cai'jia'gou 蔡家沟
'cai'jia'po 蔡家坡
'cang'kou 沧口
'cang'nan 苍南
'cang'shi 苍石
'cang'zhou 沧州
'cang'zhou'xi 沧州西
'cao'hai 草海
'cao'he'kou 草河口
'cao'shi 草市
'cao'xian 曹县
'ce'heng 册亨
'cen'xi 岑溪
'cha'bu'ga 查布嘎
'cha'jiang 岔江
'cha'ling 茶陵
'cha'su'qi 察素齐
'chai'gang 柴岗
'chai'gou'bu 柴沟堡
'chai'he 柴河
'chang'chun 长春
'chang'chun'nan 长春南
'chang'de 常德
'chang'dian 长甸
'chang'ge 长葛
'chang'le 昌乐
'chang'li 昌黎
'chang'ling'zi 长岭子
'chang'ping 昌平
'chang'ping'bei 昌平北
'chang'sha 长沙
'chang'sha'nan 长沙南
'chang'shan'tun 长山屯
'chang'shou 长寿
'chang'ting 长汀
'chang'ting'zhen 长汀镇
'chang'tu 昌图
'chang'xing 长兴
'chang'yuan 长垣
'chang'zheng 长征
'chang'zhi 长治
'chang'zhi'bei 长治北
'chang'zhou 常州
'chang'zhou'bei 常州北
'chao'hu 巢湖
'chao'tian 朝天
'chao'yang'zhen 朝阳镇
'chao'zhou 潮州
'chen'ming 晨明
'chen'qing 辰清
'chen'xi 辰溪
'chen'xiang'tun 陈相屯
'chen'zhou 郴州
'chen'zhou'xi 郴州西
'cheng'an'pu 承安铺
'cheng'de 承德
'cheng'de'dong 承德东
'cheng'du 成都
'cheng'du'dong 成都东
'cheng'gao'zi 成高子
'cheng'gu 城固
'cheng'ji'si'han 成吉思汗
'cheng'yang 城阳
'chi'bi 赤壁
'chi'bi'bei 赤壁北
'chi'feng 赤峰
'chi'feng'xi 赤峰西
'chi'zhou 池州
'chong'qing 重庆
'chong'qing'bei 重庆北
'chong'qing'nan 重庆南
'chong'ren 崇仁
'chong'zuo 崇左
'chu'shan 楚山
'chu'xiong 楚雄
'chu'zhou 滁州
'chu'zhou'bei 滁州北
'chuang'ye'cun 创业村
'chun'wan 春湾
'chun'yang 春阳
'ci'li 慈利
'ci'shan 磁山
'ci'xian 磁县
'ci'yao 磁窑
'cuo'gang 嵯岗
'da'an 大安
'da'an'bei 大安北
'da'ba 大巴
'da'ban 大板
'da'bao 大堡
'da'bu 大埔
'da'cheng 大成
'da'guan 大关
'da'guan'tun 大官屯
'da'hong'qi 大红旗
'da'hu'shan 大虎山
'da'jia'gou 达家沟
'da'la'te'xi 达拉特西
'da'li 大理
'da'lian 大连
'da'lin 大林
'da'lu'hao 大陆号
'da'ping'fang 大平房
'da'qing 大庆
'da'shi'qiao 大石桥
'da'shi'tou 大石头
'da'shi'zhai 大石寨
'da'tong 大同
'da'tun 大屯
'da'wu'kou 大武口
'da'xing 大兴
'da'xing'gou 大兴沟
'da'yan 大雁
'da'yang'shu 大杨树
'da'ying 大营
'da'ying'dong 大英东
'da'ying'zhen 大营镇
'da'ying'zi 大营子
'da'zhou 达州
'da'zhu'yuan 大竹园
'dai'ling 带岭
'dai'xian 代县
'dai'yue 岱岳
'dan'dong 丹东
'dan'feng 丹凤
'dan'tu 丹徒
'dan'yang 丹阳
'dan'yang'bei 丹阳北
'dang'shan 砀山
'dang'yang 当阳
'dao'bao 到保
'dao'er'deng 刀尔登
'dao'qing 道清
'dao'zhou 道州
'de'an 德安
'de'bo'si 德伯斯
'de'chang 德昌
'de'er'bu'er 得耳布尔
'de'hui 德惠
'de'ling'ha 德令哈
'de'qing 德清
'de'yang 德阳
'de'zhou 德州
'de'zhou'dong 德州东
'deng'sha'he 登沙河
'deng'ta 灯塔
'deng'zhou 邓州
'di'dao 滴道
'di'wo'pu 低窝铺
'di'zhuang 低庄
'dian'xin 甸心
'ding'bian 定边
'ding'nan 定南
'ding'tao 定陶
'ding'xi 定西
'ding'xiang 定襄
'ding'yuan 定远
'ding'zhou 定州
'dong'an 东安
'dong'bian'jing 东边井
'dong'fang 东方
'dong'fang'hong 东方红
'dong'feng 东丰
'dong'guan 东莞
'dong'guan'dong 东莞东
'dong'guang 东光
'dong'hai 东海
'dong'hai'xian 东海县
'dong'jin 东津
'dong'jing'cheng 东京城
'dong'lai 东来
'dong'ming'cun 东明村
'dong'ming'xian 东明县
'dong'sheng 东升
'dong'tai 东台
'dong'tong'hua 东通化
'dong'xiang 东乡
'dong'xin'zhuang 东辛庄
'dong'xu 东戌
'dong'ying 东营
'dong'yu'di 东淤地
'dong'zhen 东镇
'dong'zhi 东至
'du'jia 杜家
'du'jiang'yan 都江堰
'du'li'tun 独立屯
'du'shan 独山
'du'yun 都匀
'dui'qing'shan 对青山
'dui'zhen 兑镇
'dun'hua 敦化
'dun'huang 敦煌
'e'bian 峨边
'e'ji'na 额济纳
'e'mei 峨眉
'e'zhou 鄂州
'en'shi 恩施
'er'dao'wan 二道湾
'er'lian 二连
'er'long 二龙
'er'long'shan'tun 二龙山屯
'er'mi'he 二密河
'fa'er 发耳
'fan'jia'tun 范家屯
'fan'shi 繁峙
'fang'cheng 防城
'fang'cheng'gang 防城港
